time,open,high,low,close,All Confimed,MAMA,FAMA,KAMA,Buy Signal,Sell Signal,ICHI BUY,ICHI SELL,5in1 → BULL,5in1 → BEAR,FINAL LONG,FINAL SHORT,GRACE LONG,GRACE SHORT,ADX
1758506400,114267.8,114608.2,114143.6,114190,-1,115067.56335311197,115620.17155026532,115652.41701767092,0,0,0,0,0,0,0,0,0,0,47.12117911873996
1758510000,114190,114650,114190,114650,,114930.44384306695,115506.92511164628,115576.90479745169,0,0,0,0,0,0,0,0,0,0,49.92830046047174
1758513600,114650,114655.5,114405.2,114436.9,,114764.54188889405,115382.15116387051,115487.75311841119,0,0,0,0,0,0,0,0,0,0,51.93248380779916
1758517200,114436.9,114546.8,113519.1,113675.2,-1,114713.82909504679,115366.59476250314,115485.44078322552,0,1,0,0,0,0,0,0,0,0,54.79711247786173
1758520800,113675.2,113700.5,111615.3,112827.8,-1,114612.11041734157,115346.24906631514,115481.31746539091,0,0,0,0,0,0,0,0,0,0,57.35241146787278
1758524400,112827.8,113010,112470.2,112523.6,,114488.46232803668,115320.85688001371,115476.17964289062,0,0,0,0,0,0,0,0,0,0,60.67979310228941
1758528000,112523.6,112781.7,112448.7,112623.4,,114379.95685239877,115293.48706950138,115471.32438332663,0,0,0,0,0,0,0,0,0,0,64.21609192842047
1758531600,112623.4,112670.8,112166.2,112340.2,,113151.38371832532,114648.37816238613,114916.56445593556,0,0,0,0,0,0,0,0,0,0,67.11174194079275
1758535200,112340.2,112855.6,112263.6,112788.8,,112981.78750385015,114258.60960345459,114643.32578956132,0,0,0,0,0,0,0,0,0,0,69.25193755307778
1758538800,112788.8,112971.5,112679.3,112872.9,,112976.87532048105,114229.69850894966,114641.16484439839,0,0,0,0,0,0,0,0,0,0,70.67386648661393
1758542400,112872.9,112872.9,112516.4,112743.4,,112966.50306716931,114201.63947667724,114638.89851198117,0,0,0,0,0,0,0,0,0,0,73.37332867430709
1758546000,112743.4,113150,112386,113136.9,,112973.6797592001,114175.78018281511,114637.2381506914,0,0,0,0,0,0,0,0,0,0,75.04033170295328
1758549600,113136.9,113436.9,112757.3,112926.8,,112971.65107501212,114149.7263194533,114635.27123155883,0,0,0,0,0,0,0,0,0,0,73.5840888855146
1758553200,112926.8,113030.7,112565.1,112817.1,,112964.86741834202,114123.72301929178,114633.13717887581,0,0,0,0,0,0,0,0,0,0,72.30408177912325
1758556800,112817.1,112880.3,112574,112596.6,,112801.80780496847,113831.06750182758,114391.08929101564,0,0,0,0,0,0,0,0,0,0,70.89349424477676
1758560400,112596.6,112616.4,112243.1,112394.1,,112782.10960682743,113805.72756449315,114388.40790808527,0,0,0,0,0,0,0,0,0,0,70.15025579028584
1758564000,112394.1,112817.6,112344.3,112431.6,,112764.4437674496,113779.48698228513,114385.62680220544,0,0,0,0,0,0,0,0,0,0,68.74942260698705
1758567600,112431.6,112598,111931.6,112114.3,,112731.54813933733,113752.97545653657,114382.38196350956,0,0,0,0,0,0,0,0,0,0,66.88127211253045
1758571200,112114.3,112977,111970.5,112780.1,,112744.60042964056,113617.43375529253,114295.6220494253,0,0,0,0,0,0,0,0,0,0,63.10610101358733
1758574800,112780.1,112979,112591.8,112969.9,,112749.428888754,113608.1325258191,114295.13664958571,0,0,0,0,0,0,0,0,0,0,59.32500016338508
1758578400,112969.9,112969.9,112584.9,112636,,112746.63638387261,113597.52794259468,114294.36338554004,0,0,0,0,0,0,0,0,0,0,55.549299959702225
1758582000,112636,112743.6,112583.9,112650.9,,112743.37435314193,113582.97613300667,114293.05010970823,0,0,0,0,0,0,0,0,0,0,51.708685018159045
1758585600,112650.9,112834.6,112369.4,112387.7,,112731.05690765321,113568.22462150973,114291.48783316763,0,0,0,0,0,0,0,0,0,0,48.92834742325916
1758589200,112387.7,112510.7,112144.4,112148.6,,112714.57415239382,113556.1460354593,114290.22304209652,0,0,0,0,0,0,0,0,0,0,46.923540333001434
1758592800,112148.6,112488.3,111675,111811.7,,112526.73802572823,113449.06576696686,114204.10538121118,0,0,0,0,0,0,0,0,0,0,45.41547106051502
1758596400,111811.7,112448.9,111482.1,112335.2,,112526.03093312238,113447.36200317512,114204.0808427447,0,0,0,0,0,0,0,0,0,0,45.14847089245375
1758600000,112335.2,112466.1,111863.6,112430.7,,112525.67066815772,113445.62042210926,114204.05646413543,0,0,0,0,0,0,0,0,0,0,45.78140469686291
1758603600,112430.7,112889.5,112419.4,112662.3,,112534.38950080486,113416.54588226258,114198.17238051916,0,0,0,0,0,0,0,0,0,0,44.680869716289315
1758607200,112662.3,113114.8,112608.7,112980.5,,112536.12872479248,113414.82966773486,114198.15458716505,0,0,0,0,0,0,0,0,0,0,42.88590755112879
1758610800,112980.5,113114.9,112880.5,113087.9,,112538.52996404779,113412.92289463659,114198.13446537273,0,0,0,0,0,0,0,0,0,0,40.71857618036283
1758614400,113087.9,113165.6,112936.4,113124.8,,112543.14243551345,113409.50140172115,114198.07315290417,0,0,0,0,0,0,0,0,0,0,39.08456228230575
