asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error,fixed_displacement
KSM,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,4.5,4.75,3.0,4.5,8,30,12,29,26,2.812860435586135,12.835010002271297,294,2.1683743756636975,3.7045308799595222,120,1.950250793528085,2.975449731354929,90,-1.583664416556707,1.5254636400469799,0.693333650278208,0.006,,26
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,2.75,6.0,7.5,8,33,9,29,39,1.2356255040936377,4.3612675739767015,273,1.2579358788854034,1.402827139481988,99,-1.0375905757233994,-1.2992972478090947,75,-3.0728596712930933,0.7713631612786502,-0.8397290055003341,0.448,,39
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.25,1.5,8.5,2.5,7,31,8,23,52,2.702076525098438,9.387378765616305,327,1.6978360199708187,1.9476266795146024,108,1.1077923006235335,1.629583636617804,111,-2.942309934439058,1.2558233973615809,0.409978137308001,0.056,,52
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,5.0,1.5,3.5,8.0,16,20,12,18,65,3.1675967231838738,6.737014075695891,264,-2.214177024194032,-2.4872032100147545,99,1.1550922435570723,1.0503853982172684,81,-2.521742906591129,1.337020024018416,0.364658870588818,0.048,,65
KSM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,1.75,11.0,9.5,9,31,11,19,78,1.9479087434785507,9.452151558459509,267,2.557521376860338,4.273389309363873,81,-1.4139520037194635,-1.805615218168899,61,-3.879695566635877,0.665076152099244,-0.7258820560528139,0.53,,78
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,WFE<0.6; TRADES<50; OVERFIT,3.5,4.25,9.0,5.5,10,23,14,21,26,5.076076062841897,5.795501341239806,50,-2.7832164744252377,-1.4028360238125592,26,1.2109975397938442,0.5507875420039721,18,-1.5456430864296933,1.3489187888232292,0.23856962047094582,0.298,,26
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,WFE<0.6; TRADES<50; OVERFIT,2.5,5.0,3.5,6.0,13,28,9,28,39,6.398404656198277,13.688037232236617,84,-0.7425628901116513,-0.49033236160257454,27,1.504698192942814,0.9650059228250907,27,-2.56341143431289,1.3696934682643953,0.23516771348388843,0.25,,39
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,TRADES<50,4.25,4.75,3.5,9.5,6,20,8,25,52,4.798972807263357,5.981290727676369,72,5.262190062423999,1.0063764430718658,6,5.5439199478388215,2.116649551928873,18,-0.5055418766646502,5.140407386093325,1.1552305400538987,0.018,,52
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,WFE<0.6; TRADES<50; OVERFIT,3.75,3.5,4.5,9.5,7,23,8,28,65,2.9032943395951003,3.146590399031912,66,-5.148238879717515,-1.8479083768738969,13,1.4765558576180982,0.5990100081248562,21,-1.029972552283498,1.3898311494271847,0.5085794566127325,0.25,,65
LOOM,FAIL,binance,1H,2024-01-22,2024-08-26,5197,42,TRADES<50,3.75,4.0,7.5,2.5,8,20,8,20,78,3.469504874774691,3.783211588776747,60,-2.7665132321715378,-0.91804835611069,14,4.182962548921293,1.3721662202723195,14,-0.5108358993846984,3.6445873844249834,1.205636740658257,0.064,,78
