asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
TON,FAIL,binance,1H,2024-08-08,2026-01-21,12748,42,WFE<0.6; OVERFIT,2.75,1.5,9.0,9.5,20,35,9,15,2.2086999187295526,7.333958323568601,207,-5.577556488620435,-7.329567962360528,93,1.311304192346269,1.0092513173852513,72,-1.0595318567094614,1.4361657614201595,0.5936995701528042,0.04,
NOT,FAIL,binance,1H,2024-05-16,2026-01-21,14762,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.5,1.75,6.5,8.5,9,27,9,29,3.0676240679370363,11.773237291841854,279,0.7601480987320227,1.1000035006158315,120,-3.1410235905089516,-5.07016580119074,111,-6.629775305787311,0.5413355785526941,-1.0239271569613404,0.688,
DOGS,FAIL,binance,1H,2024-08-26,2026-01-21,12314,42,WFE<0.6; OVERFIT,2.0,1.75,3.5,7.0,16,20,12,21,3.194767125311183,10.48305145439028,249,-0.6552265385760919,-0.8538284205533042,102,1.5818968273062373,1.6459695265147678,66,-2.358100166731625,1.393572622659852,0.49515246816374897,0.058,
HMSTR,FAIL,binance,1H,2024-09-26,2026-01-21,11570,42,TRADES<50,5.0,2.75,6.0,9.0,17,21,8,26,2.3497036526105983,3.709759300182003,111,-1.9413182862454281,-1.571074521110316,53,2.654111599106786,1.9096372250882343,42,-0.8722920973990522,2.2281718023615302,1.1295516335253513,0.022,
CATI,FAIL,binance,1H,2024-09-20,2026-01-21,11715,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,4.0,4.5,6.0,9.5,9,21,9,24,3.0321911224690647,8.293370144412759,141,-3.4775565323049924,-3.7044477253794006,54,-1.8576237927024783,-1.4111003899459518,30,-2.6175889901544624,0.5548379261485259,-0.6126341373857216,0.806,
BANANA,FAIL,binance,1H,2024-07-20,2026-01-21,13205,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,4.0,7.5,8.5,6,39,10,25,3.2992326735641093,15.775842308274646,171,1.3455386598648815,2.422893258124037,66,-2.7137751043559786,-4.482017081434842,70,-6.742935854500343,0.545811102815748,-0.8225473535409462,0.646,
LISTA,FAIL,binance,1H,2024-06-20,2026-01-21,13924,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,2.5,3.0,9.0,18,36,16,18,2.106336707850108,6.972450446710421,237,-4.013289814774796,-5.957898163159026,108,-1.5191648494108805,-1.669932599101065,72,-4.031724303888007,0.7090365531182328,-0.7212355193493536,0.58,
AEVO,SUCCESS,binance,1H,2024-03-13,2026-01-21,16300,42,,4.5,2.5,5.5,9.5,9,31,11,19,1.8781223471013013,5.741456332028849,237,0.15699172531653585,0.1657860389684851,96,1.719505437727277,1.74225519631368,78,-1.144888380343001,1.5567200091967646,0.9155449539169618,0.05,
EIGEN,FAIL,binance,1H,2024-10-01,2026-01-21,11457,42,TRADES<50,5.0,2.0,3.5,7.0,20,31,12,30,1.5622951470179396,2.6359924545798608,165,1.5041789137380528,0.9895946186754268,66,4.56899031289789,1.5613501221853898,36,-0.4968203746529509,3.933289424392324,2.9245372243644465,0.0,
ONDO,FAIL,binance,1H,2025-04-11,2026-01-21,6840,42,TRADES<50,2.25,3.5,8.5,9.5,20,31,12,30,3.1602678761075342,6.909317299485385,90,-0.4279473421782301,-0.2983254123828716,31,5.163314684814922,3.572592802361152,27,-0.6832404264730085,3.210722084882329,1.6338218427149656,0.002,
