trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
51,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,25,12,26
52,2.147172949975765,294,7.705050185803941,2.147172949975765,-1.4484590966800215,2.081523643025436,True,12,37,12,28
53,2.3823240233863854,297,8.35871925937115,2.3823240233863854,-1.0093578166495032,2.2620180353900925,True,10,26,11,23
54,2.1655401479603396,297,7.776314923241778,2.1655401479603396,-1.4484590966800215,2.0905990359589532,True,10,27,11,22
55,1.8175150435210814,294,6.564016458898658,1.8175150435210814,-1.447136435626084,1.8599326680528834,True,8,24,11,24
56,2.3642910666759978,297,8.357620692248059,2.3642910666759978,-1.4468620093389561,2.262041064707343,True,10,30,10,23
57,2.0075677844782196,285,7.108337784537233,2.0075677844782196,-1.4468620093389561,2.0008895903653956,True,9,32,9,23
58,2.0075676768102344,285,7.108337299228906,2.0075676768102344,-1.4468620093389561,2.00088952203155,True,9,30,10,21
59,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,35,10,20
60,2.242215080621857,288,7.757646875787461,2.242215080621857,-1.0090846393873476,2.1747101211806905,True,10,38,9,18
61,1.8176682591787956,294,6.564576802782551,1.8176682591787956,-1.4468620093389561,1.8600376443322426,True,10,36,8,18
62,2.042106461783344,297,7.213886379341128,2.042106461783344,-1.0090846393873476,2.0110907316837063,True,10,38,8,19
63,2.0507824061428397,285,7.276725771166603,2.0507824061428397,-1.4468620093389561,2.025389130527035,True,10,35,9,19
64,2.0076669521660415,285,7.108712561376218,2.0076669521660415,-1.4468620093389561,2.0009687716128832,True,9,40,9,16
65,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,20
66,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,20
67,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,20
68,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,35,10,20
69,2.1903791739719645,294,7.878358498634186,2.1903791739719645,-1.4468620093389561,2.107182070842173,True,9,34,10,20
70,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,21
71,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,21
72,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,34,10,20
73,2.1903791739719645,294,7.878358498634186,2.1903791739719645,-1.4468620093389561,2.107182070842173,True,9,34,10,20
74,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,35,10,21
75,2.3642910666759978,297,8.357620692248059,2.3642910666759978,-1.4468620093389561,2.262041064707343,True,10,33,10,19
76,2.1903791739719645,294,7.878358498634186,2.1903791739719645,-1.4468620093389561,2.107182070842173,True,9,35,10,21
77,2.0075676768102344,285,7.108337299228906,2.0075676768102344,-1.4468620093389561,2.00088952203155,True,10,32,9,20
78,2.0507824061428397,285,7.276725771166603,2.0507824061428397,-1.4468620093389561,2.025389130527035,True,10,34,9,21
79,2.1810962256304096,300,7.841179203251314,2.1810962256304096,-1.447136435626084,2.0984403364691397,True,11,36,10,22
80,2.1479903357266146,294,7.709970026696511,2.1479903357266146,-1.4468620093389561,2.0826854707451217,True,9,32,10,20
81,2.40674813531111,297,8.526009164185755,2.40674813531111,-1.4468620093389561,2.2885327380368077,True,10,35,10,21
82,2.3642910666759978,297,8.357620692248059,2.3642910666759978,-1.4468620093389561,2.262041064707343,True,10,33,10,19
83,2.0507824061428397,285,7.276725771166603,2.0507824061428397,-1.4468620093389561,2.025389130527035,True,10,35,9,21
84,2.4160078069183606,303,8.49048877980987,2.4160078069183606,-1.0093578166495032,2.2786248760979135,True,11,37,10,20
85,2.4160078069183606,303,8.49048877980987,2.4160078069183606,-1.0093578166495032,2.2786248760979135,True,11,37,10,18
86,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
87,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
88,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
89,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
90,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
91,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,37,11,18
92,2.3828072950091,300,8.427107639512377,2.3828072950091,-1.4484590966800215,2.271077083193847,True,11,37,11,17
93,2.3828072950091,300,8.427107639512377,2.3828072950091,-1.4484590966800215,2.271077083193847,True,11,37,11,17
94,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,38,11,18
95,2.6095755253759174,300,9.009511975641749,2.6095755253759174,-1.0093578166495032,2.4714509947149956,True,11,38,11,18
96,2.3649560952170163,297,8.360202399083171,2.3649560952170163,-1.447136435626084,2.262677042345268,True,11,39,11,16
97,2.364236851415938,294,8.289622254009664,2.364236851415938,-1.0093578166495032,2.252937080680301,True,12,38,11,18
98,2.3649560952170163,297,8.360202399083171,2.3649560952170163,-1.447136435626084,2.262677042345268,True,11,39,11,18
99,2.3828072950091,300,8.427107639512377,2.3828072950091,-1.4484590966800215,2.271077083193847,True,11,37,11,17
